Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
Kara no Kyoukai 7: Satsujin Kousatsu (Go)\the Garden of sinners Chapter 7: Murder Speculation Part ,8.41,1, ufotable, Light novel,TBD,188080,2166,1010,152
Kaze ga Tsuyoku Fuiteiru\Run with the Wind,8.41,23, Production I.G, Novel, Fall 2018,255691,5226,754,153
Natsume Yuujinchou Movie: Utsusemi ni Musubu\Natsume Yujin-cho the Movie: Ephemeral Bond,8.41,1, Shuka, Manga,TBD,58908,168,2382,154
Sayonara no Asa ni Yakusoku no Hana wo Kazarou\Maquia: When the Promised Flower Blooms,8.41,1, P.A. Works, Original,TBD,346553,6027,529,155
Shingeki no Kyojin: Kuinaki Sentaku\Attack on Titan: No Regrets,8.41,2, Wit Studio, Visual novel,TBD,436590,1750,408,156
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou\Violet Evergarden I: Eternity and the Auto Memory Doll,8.41,1, Kyoto Animation, Light novel,TBD,321232,1191,578,157
Natsume Yuujinchou Roku Specials,8.4,2, Shuka, Manga,TBD,39435,65,2974,158
Non Non Biyori Nonstop,8.4,12, SILVER LINK., Manga, Winter 2021,98819,799,1727,159
Tensei shitara Slime Datta Ken 2nd Season\That Time I Got Reincarnated as a Slime Season 2,8.4,12, 8bit, Manga, Winter 2021,703415,9257,218,160
3-gatsu no Lion\March Comes In Like a Lion,8.4,22, Shaft, Manga, Fall 2016,592726,13889,274,161
Chihayafuru 2,8.4,25, Madhouse, Manga, Winter 2013,211288,1563,905,162
Cross Game,8.4,50, SynergySP, Manga, Spring 2009,113333,2872,1544,163
Gintama: Aizome Kaori-hen,8.4,2, Bandai Namco Pictures, Manga,TBD,73403,125,2078,164
Houseki no Kuni (TV)\Land of the Lustrous,8.4,12, Orange, Manga, Fall 2017,381019,10861,472,165
Hunter x Hunter,8.4,62, Nippon Animation, Manga, Fall 1999,513124,9414,340,166
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen\Kaguya-sama: Love is War,8.4,12, A-1 Pictures, Manga, Winter 2019,1363508,30841,65,167
"Kobayashi-san Chi no Maid Dragon S\Miss Kobayashis Dragon Maid Season 2""",8.4,12, Kyoto Animation, Manga, Summer 2021,425450,5370,418,168
Barakamon,8.39,12, Kinema Citrus, Web manga, Summer 2014,589194,11802,276,169
Fumetsu no Anata e\To Your Eternity,8.39,20,Studios: Brains Base, Manga, Spring 2021,653727,11054,236,170
Holo no Graffiti\Holo Graffiti,8.39,0, Hololive Production, Other,TBD,44049,1689,2777,171
"Tian Guan Ci Fu\Heaven Officials Blessing""",8.39,11, Haoliners Animation League, Web novel,TBD,88950,3303,1845,172
Usagi Drop\Bunny Drop,8.39,11, Production I.G, Manga, Summer 2011,446619,5830,397,173
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan\My Teen Romantic Comedy SNAFU Climax!,8.39,12, feel., Light novel, Summer 2020,585388,12227,283,174
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season\Re:ZERO -Starting Life in Another World- Season 2,8.38,13, White Fox, Light novel, Summer 2020,908302,10670,131,175
Baccano!,8.38,13,Studios: Brains Base, Light novel, Summer 2007,818219,22069,159,176
Cowboy Bebop: Tengoku no Tobira\Cowboy Bebop: The Movie,8.38,1, Bones, Original,TBD,327822,1251,560,177
Kamisama Hajimemashita: Kako-hen,8.38,4, TMS Entertainment, Manga,TBD,143020,869,1302,178
Kimetsu no Yaiba: Mugen Ressha-hen\Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,8.38,7, ufotable, Manga, Fall 2021,382133,2751,469,179
Kizumonogatari I: Tekketsu-hen\Kizumonogatari Part 1: Iron-Blooded,8.38,1, Shaft, Light novel,TBD,460148,3070,380,180
Mahou Shoujo MadokaMagica Movie 2: Eien no Monogatari\Puella Magi Madoka Magica the Movie Part 2: Eternal,8.38,1, Shaft, Original,TBD,182870,997,1026,181
Kaze no Tani no Nausica\Nausica of the Valley of the Wind,8.37,1, Topcraft, Manga,TBD,324114,4343,570,182
Mushoku Tensei: Isekai Ittara Honki Dasu\Mushoku Tensei: Jobless Reincarnation,8.37,11, Studio Bind, Light novel, Winter 2021,890473,20837,138,183
Bakuman. 2nd Season\Bakuman.,8.36,25, J.C.Staff, Manga, Fall 2011,324272,1317,569,184
Doupo Cangqiong: San Nian Zhi Yue,8.36,13, Motion Magic, Novel,TBD,3097,110,8551,185
Haikyuu!! To the Top\Haikyu!! To the Top,8.36,13, Production I.G, Manga, Winter 2020,747074,4573,186,186
Hellsing Ultimate,8.36,10," Madhouse, Satelight, Graphinica", Manga,TBD,804044,18955,163,187
Kingdom 2nd Season\Kingdom: Season 2,8.36,39, Studio Pierrot, Manga, Summer 2013,98118,734,1733,188
Mahou Shoujo MadokaMagica\Puella Magi Madoka Magica,8.36,12, Shaft, Original, Winter 2011,1133012,48091,89,189
Gintama: Shiroyasha Koutan,8.35,1, Sunrise, Manga,TBD,62070,83,2309,190
Given,8.35,11, Lerche, Manga, Summer 2019,450748,14497,388,191
Gotcha!,8.35,1, Bones, Game,TBD,24243,208,3813,192
Kiseijuu: Sei no Kakuritsu\Parasyte: The Maxim,8.35,24, Madhouse, Manga, Fall 2014,1599202,30457,41,193
Made in Abyss Movie 2: Hourou Suru Tasogare\Made in Abyss: Wandering Twilight,8.35,1, Kinema Citrus, Web manga,TBD,90325,127,1831,194
Psycho-Pass,8.35,22, Production I.G, Original, Fall 2012,1440730,35323,55,195
Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.34,1,Studios: Brains Base, Manga,TBD,71891,99,2109,196
Neon Genesis Evangelion,8.34,26," Gainax, Tatsunoko Production", Original, Fall 1995,1515463,88419,50,197
One Outs,8.34,25, Madhouse, Manga, Fall 2008,211050,3647,906,198
Uchuu Senkan Yamato 2199\Star Blazers: Space Battleship Yamato 2199,8.34,26," Xebec, AIC", Original,TBD,103681,1597,1667,199
Versailles no Bara\The Rose of Versailles,8.34,40, Tokyo Movie Shinsha, Manga, Fall 1979,82191,2520,1953,200
